animeTitle	Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.33
animeUsers	68187
animeRank	
animePopularity	1499
animeDescription	"The Z Warriors discover an unopenable music box and are told to open it with the dragon balls. The contents turn out to be a warrior named Tapion who had sealed himself inside along with a monster called Hildegarn. Goku must now perfect a new technique to defeat the evil monster. 

(Source: ANN)"
animeRelated	['Dragon Ball Z']
animeCharacters	['Son, Gokuu', 'Trunks', 'Tapion', 'Hildegarn', 'Vegeta', 'Son, Gohan', 'Bulma', 'Muten-Roushi', 'Kuririn', 'Son, Goten']
animeVoices	['Nozawa, Masako', 'Kusao, Takeshi', 'Yuuki, Hiro', 'Aomori, Shin', 'Horikawa, Ryo', 'Tsuru, Hiromi', 'Satou, Masaharu', 'Tanaka, Mayumi']
animeStaff	[['Yamauchi, Shigeyasu', 'Producer'], ['Watson, Barry', 'Producer'], ['Hashimoto, Mitsuo', 'Director'], ['Koyama, Takao', 'Script']]
