animeTitle	b'Pia Carrot e Youkoso!!'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.0
animeUsers	1132
animeRank	
animePopularity	
animeDescription	b'Yusuke Kinoshita is forced by his father to work at his restaurant Pia Carrot all summer due to his bad grades in school. What first seems to be a boring job becomes a memorable experience due to his interactions with his co-workers and his boss. \n\n(Source: ANN)'
animeRelated	[b'Pia Carrot e Youkoso!! 2', b'Pia Carrot e Youkoso!! 2 DX', b'Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari']
animeCharacters	[b'Kinoshita, Yusuke', b'Inaba, Shouko', b'Morihara, Satomi', b'Kinoshita, Rumi']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nOomiya, Saburou\n\nProducer\n\n', b'\nCocktail Soft\n\nOriginal Creator\n\n', b'\nSugiura, Shouichirou\n\nArt Director\n\n']
