animeTitle	Tezuka Osamu ga Kieta?! 20 Seiki Saigo no Kaijiken
animeType	Special
animeNumEpisode	1
releaseDate	2000-12-05 00:00:00
endDate	
animeNumMembers	
animeScore	6.3
animeUsers	211
animeRank	
animePopularity	11634
animeDescription	"New Year's Eve 2000. An eternally juvenile Tezuka Osamu meets his creations for a New Year's Eve party at the Dr. Tenma's mansion, but before the event begins he suddenly disappears from his room in what looks like a kidnapping. A classic mystery setting for, at the end, a lovely homage to the man behind the genius.

(Source: AniDB)"
animeRelated	['Hi no Tori', 'Black Jack', 'Tetsuwan Atom', 'Ribbon no Kishi', 'Mitsume ga Tooru']
animeCharacters	['Hazama, Kuroo', 'Atom', 'Tenma, Umatarou', 'Sapphire', 'Tezuka, Osamu', 'Pinoko', 'The Phoenix', 'Hosuke, Sharaku', 'Hige Oyaji', 'Dr. Ochanomizu']
animeVoices	['Ootsuka, Akio', 'Shimizu, Mari', 'Ooki, Tamio', 'Touma, Yumi', 'Mizutani, Yuuko', 'Kumai, Motoko', 'Tomita, Kousei', 'Katsuta, Hisashi']
animeStaff	[['Kuwahara, Satoshi', 'Director, Screenplay'], ['Tezuka, Osamu', 'Original Creator'], ['Nishita, Masayoshi', 'Animation Director']]
