animeTitle	b'Natsume Yuujinchou Go'
animeType	b'TV'
animeNumEpisode	11
releaseDate	
endDate	
animeNumMembers	
animeScore	8.58
animeUsers	59996
animeRank	
animePopularity	
animeDescription	b'Season 5 of Natsume Yuujinchou.'
animeRelated	[b'Natsume Yuujinchou', b'Natsume Yuujinchou Shi', b'Natsume Yuujinchou Go Specials', b'Natsume Yuujinchou Roku']
animeCharacters	[b'Natsume, Takashi', b'Madara', b'Natsume, Reiko', b'Tanuma, Kaname', b'Natori, Shuuichi', b'Matoba, Seiji', b'Taki, Tooru', b'Hinoe', b'Fujiwara, Touko', b'Hiiragi']
animeVoices	[b'\nKamiya, Hiroshi\nJapanese\n', b'\nInoue, Kazuhiko\nJapanese\n', b'\nKobayashi, Sanae\nJapanese\n', b'\nHorie, Kazuma\nJapanese\n', b'\nIshida, Akira\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nSatou, Rina\nJapanese\n', b'\nOkamura, Akemi\nJapanese\n', b'\nItou, Miki\nJapanese\n', b'\nYukino, Satsuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOomori, Takahiro\n\nDirector\n\n', b'\nDeai, Kotomi\n\nDirector\n\n', b'\nOoshiro, Miyuki\n\nEpisode Director, Storyboard, Animation Director\n\n', b'\nAimer\n\nTheme Song Performance\n\n']
