animeTitle	Through the Windows
animeType	Movie
animeNumEpisode	1
releaseDate	2014-01-01 00:00:00
endDate	
animeNumMembers	573
animeScore	5.55
animeUsers	287
animeRank	10207
animePopularity	12615
animeDescription	The gaze of a woman from a window to windows leads to a recollection of the various scenes. The metamorphosed windows transfer, expand, reflect, conserve, and sometimes shine like a lighthouse.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
