animeTitle	b'Tantei Shounen Kageman'
animeType	b'TV'
animeNumEpisode	39
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Kageman is a boy who wants to become the best detective in the world. Each of the self-contained episode features a fun guessing game and unriddling of a case. \n\n(Source: AniDB)'
animeRelated	[]
animeCharacters	[b'Narrator']
animeVoices	[b'\nKobayashi, Kiyoshi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOhata, Kiyotaka\n\nEpisode Director, Storyboard\n\n', b'\nSadohara, Takeyuki\n\nEpisode Director\n\n', b'\nKume, Issei\n\nEpisode Director, Storyboard\n\n', b'\nMakino, Takashi\n\nTheme Song Composition\n\n']
