animeTitle	Coquelicot-zaka kara
animeType	Movie
animeNumEpisode	1
releaseDate	2011-07-16 00:00:00
endDate	
animeNumMembers	151035
animeScore	7.81
animeUsers	87195
animeRank	841
animePopularity	1179
animeDescription	"Atop a hill overlooking a seaside port sits a boarding house named Coquelicot Manor. Since the building is run by her family, Umi Matsuzaki carries out many of the duties involved in managing the small establishment, such as preparing meals for her fellow boarders. When she isn't at home, she is a student at the local high school—one that is currently dealing with a small crisis.

In anticipation of the upcoming Olympic Games, a beloved old clubhouse is set to be demolished to make way for a modern building. As a result, a large part of the student body has banded together, working tirelessly to prevent this from happening. Umi finds herself helping the newspaper club to spread information about this cause where she befriends Shun Kazama, whom she gradually begins to fall in love with. But Shun is an orphan who doesn't know much about his origins, and when the two begin searching for clues to the boy's past, they discover that they may have a lot more in common than either of them could have thought.

[Writtten by MAL Rewrite]"
animeRelated	['Coquelicot-zaka kara']
animeCharacters	['Matsuzaki, Umi', 'Kazama, Shun', 'Mizunuma, Shirou', 'Hirokouji, Sachiko', 'Matsuzaki, Sora', 'Yuuko', 'Nobuko', 'Sawamura, Yuuichirou', 'Tomoko', 'Hokuto, Miki']
animeVoices	['Nagasawa, Masami', 'Okada, Junichi', 'Kazama, Shunsuke', 'Hiiragi, Rumi', 'Shiraishi, Haruka', 'Teshima, Aoi', 'Kanno, Toshimi', 'Ishida, Yuriko']
animeStaff	[['Suzuki, Toshio', 'Producer'], ['Miyazaki, Gorou', 'Director'], ['Niwa, Keiko', 'Script'], ['Teshima, Aoi', 'Theme Song Performance']]
