animeTitle	Ansoku no Basho
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17935
animeDescription	After losing a job at the company a man starts working part-time handing out balloons in a rabbit costume. He finds it comfortable to disguise himself in the costume, as nobody would recognize him. Finally he decides to wear the costume all time in daily life. Then the costume becomes a part of his body and confines him inside…
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
