animeTitle	Kubbe no Ongakukai
animeType	ONA
animeNumEpisode	2
releaseDate	2014-10-08 00:00:00
endDate	2019-03-05 00:00:00
animeNumMembers	266
animeScore	5.54
animeUsers	115
animeRank	10247
animePopularity	15019
animeDescription	A PV for Johnsen Kubbe's picture book that was released on October 15, 2014 in Japan. A second unique PV was created for the picture book's 2nd Edition release.
animeRelated	['Kubbe PV Full ver.']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
