animeTitle	Chocchan Monogatari
animeType	Movie
animeNumEpisode	1
releaseDate	1996-03-20 00:00:00
endDate	
animeNumMembers	1172
animeScore	6.63
animeUsers	196
animeRank	5447
animePopularity	10747
animeDescription	"This feature length film is based on autobiography of Cho ""Chocchan"" Kuroyanagi, who is better known as the mother of an actress Tetsuko Kuroyanagi.

The story starts in pre-World War 2 Japan when Chocchan marries violinist despite the objection of both of their families. They live in poverty, have three children and are happy together. Any misfortune they face with a smile. But new obstacle for their happiness comes when the war breaks out and Chocchan's husband must leave for the front..."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
