animeTitle	Spaceship Agga Ruter
animeType	OVA
animeNumEpisode	4
releaseDate	1998-10-25 00:00:00
endDate	1999-04-25 00:00:00
animeNumMembers	
animeScore	6.49
animeUsers	833
animeRank	
animePopularity	9157
animeDescription	"Follow Taiyo and Kei on their journey in space, filled with laughter and skinship as they meet new friends and enemies in their search for the missing core of Agga Ruter.

(Source: ANN) "
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
