animeTitle	Memories Off 3.5
animeType	OVA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.24
animeUsers	1116
animeRank	
animePopularity	8285
animeDescription	"This series is made up of two seperate stories with a few overlapping characters. The first story, Omoide no Kanata e, is about Shogo and his current girlfriend Neo. Kanata, a former girlfriend of Shogo's shows up one day and causes Shogo and Neo to think about their current situations. The second story, Inori no Todoku Koro, is about girl called Inori and her boyfriend Isshu. They had made a promise to always go to the fireworks festival together, since that was the place that they orginally became a couple. This year, Isshu says he cannot attend because of his work so Inori goes alone and recalls the previous two years.

(Source: ANN)"
animeRelated	['Memories Off 2nd', 'Memories Off #5 Togireta Film The Animation']
animeCharacters	['Misasagi, Inori', 'Kurosu, Kanata', 'Kaga, Shougo', 'Kashima, Neo', 'Shin, Inaho', 'Shirakawa, Hotaru', 'Hanamatsuri, Karin']
animeVoices	['Kobayashi, Sanae', 'Majima, Junji', 'Mizuki, Nana', 'Enomoto, Atsuko']
animeStaff	[['Tokoro, Toshikatsu', 'Director'], ['Shikura, Chiyomaru', 'Theme Song Composition, Theme Song Lyrics, Music'], ['Asano, Masumi', 'Theme Song Performance'], ['Murata, Ayumi', 'Theme Song Performance']]
