animeTitle	The Curlydog Story
animeType	Special
animeNumEpisode	1
releaseDate	2008-01-01 00:00:00
endDate	
animeNumMembers	259
animeScore	5.67
animeUsers	133
animeRank	9842
animePopularity	15131
animeDescription	A little girl plays with a curly dog before heading to bed. Once asleep the curls fall apart and the girl's teddy bear comes to life to give the dog a make over to bring the curls back.
animeRelated	['Hokori Inu no Hanashi']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
