animeTitle	b'Tesla Note'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	3.71
animeUsers	2555
animeRank	
animePopularity	
animeDescription	"b'Mission T is a secret operation to save the world from destruction. Trained as a ninja from a young age, Botan Negoro, raised to become the ultimate spy, teams up with another excellent spy, Kuruma. Their aim is to recover the legacy of the genius inventor Nikola Tesla, the ""Shards of Tesla."" Can the two outwit the agents of other countries who are also pursuing these fragments? A super-original spy thriller begins. \n\n(Source: Kodansha, translated)'"
animeRelated	[b'Tesla Note']
animeCharacters	[b'Kuruma', b'Miller, Mickey', b'Negoro, Botan', b'Thornton, Oliver', b'Takamatsu, Ryuunosuke', b'Steinem, Lily', b'Toriumi, Kensuke', b'Negoro, Jingo', b'Himi, Kyouhei']
animeVoices	[b'\nSuzuki, Tatsuhisa\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nKohara, Konomi\nJapanese\n', b'\nKamiya, Hiroshi\nJapanese\n', b'\nMaeno, Tomoaki\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nKiuchi, Hidenobu\nJapanese\n', b'\nMugihito\nJapanese\n', b'\nNakai, Kazuya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nFukuda, Michio\n\nDirector\n\n', b'\nAbe, Nobuyuki\n\nSound Director\n\n', b'\nNishida, Masafumi\n\nScript, Original Creator, Series Composition\n\n', b'\nNinomiya, Yui\n\nTheme Song Performance\n\n']
