animeTitle	Gintama: Dai Hanseikai
animeType	Special
animeNumEpisode	1
releaseDate	2010-03-25 00:00:00
endDate	
animeNumMembers	32356
animeScore	8.07
animeUsers	13531
animeRank	469
animePopularity	3168
animeDescription	"Some of the characters get together and talk about ""regrets"" they have after 4 years of anime Gintama. Soon they fight over who gets more screen time. Special animation shown at the Gintama Haru Matsuri 2010 live event."
animeRelated	['Gintama']
animeCharacters	['Sakata, Gintoki', 'Kagura', 'Katsura, Kotarou', 'Hijikata, Toushirou', 'Okita, Sougo', 'Shimura, Shinpachi', 'Kondou, Isao', 'Yamazaki, Sagaru']
animeVoices	['Sugita, Tomokazu', 'Kugimiya, Rie', 'Ishida, Akira', 'Nakai, Kazuya', 'Suzumura, Kenichi', 'Sakaguchi, Daisuke', 'Chiba, Susumu', 'Oota, Tetsuharu']
animeStaff	[['Takeuchi, Shinji', 'Character Design']]
