animeTitle	Geobreeders: File-X Chibi Neko Dakkan
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.27
animeUsers	1059
animeRank	
animePopularity	8638
animeDescription	"Taba and the Girls of Kagura Total Security Inc. specialize in jobs where their enemy are ""Phantom Cats"". They have a few run ins with the various Government agencies, as well as a gang of Phantom Cats; blowing up a lot of stuff along the way. When one of their own is kidnapped, they have to get her back.

(Source: ANN)"
animeRelated	['Geobreeders', 'Geobreeders 2: Mouryou Yuugekitai File-XX Ransen Toppa']
animeCharacters	['Maya', 'Umezaki, Maki', 'Himehagi, Yuu', 'Taba, Youichi', 'Sakuragi, Takami', 'Randou, Eiko', 'Kikushima, Yuka', 'Yajima, Hirokuni', 'Irie, Shouzou', 'Narusawa, Ayumi']
animeVoices	['Iizuka, Mayumi', 'Hisakawa, Aya', 'Hidaka, Narumi', 'Miki, Shinichiro', 'Yajima, Akiko', 'Imai, Yuka', 'Koorogi, Satomi', 'Ootsuka, Akio', 'Nagasawa, Miki']
animeStaff	[['Moriyama, Yuuji', 'Director'], ['Kuroda, Yousuke', 'Script'], ['Imaishi, Hiroyuki', 'Key Animation'], ['Nakagawa, Koutarou', 'Music']]
