animeTitle	Circlet Princess
animeType	TV
animeNumEpisode	12
releaseDate	2019-01-08 00:00:00
endDate	2019-03-26 00:00:00
animeNumMembers	15387
animeScore	5.98
animeUsers	3467
animeRank	8722
animePopularity	4480
animeDescription	"Virtual Reality and the arrival of Circlet Technology has changed people's lives. A new competitive electronic sport called Circlet Bout emerges, and schools duel to determine the strongest Circlet Bout Club and player. One day, Yuuka Sasaki gets mistaken for a challenger and battles against Chikage Fujimura, the best player in Japan, tying the intense fight despite her inexperience. These events lead to her passion for the sport, deciding to become a Circlet Bout player. 

Two years later, Yuuka moves to Tokyo and enrolls in Union School, a place where she can practice and pursue her dream of fighting Chikage again. After her arrival at the Union School, she discovers the club closed. Now her first goal is to help the athletic Miyuki Kasahara and club manager Ayumu Aizawa reopen Union's Circle Bout Club and return it to its former glory.

[Written by MAL Rewrite]"
animeRelated	['Circlet Princess: First Bout']
animeCharacters	['Sasaki, Yuuka', 'Averin, Nina', 'Aizawa, Ayumu', 'Kuroda, Reina', 'Kasahara, Miyuki', 'Sekiguchi, Sarina', 'Sugiura, Hiyori', 'Ida, Kasumi', 'Yoshimura, Kaoru', 'Fujimura, Chikage']
animeVoices	['Nagatsuma, Juri', 'Gotou, Mai', 'Mizuhashi, Kaori', 'Nabatame, Hitomi', 'Nakajima, Saki', 'Taniguchi, Yuna']
animeStaff	[['Tachibana, Hideki', 'Director'], ['Gou, Fumiyuki', 'Sound Director'], ['Kuribayashi, Minami', 'Theme Song Performance'], ['Hashimoto, Miyuki', 'Theme Song Performance']]
