animeTitle	Paris no Isabelle
animeType	TV
animeNumEpisode	13
releaseDate	1979-04-19 00:00:00
endDate	1979-07-12 00:00:00
animeNumMembers	
animeScore	5.6
animeUsers	230
animeRank	
animePopularity	11237
animeDescription	"The principal character is 15-year-old Isabelle Laustin, other characters being her parents Leon and Marie, Isabelle's friends Jean and his sister Marie, and Isabelle's suitor, Captain Victor.

When Paris is besieged and Napoleon III's army is defeated, Isabelle escapes to London, disguised as a boy, and engages in secret agent stuff.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Narrator', 'Marie']
animeVoices	['Inagaki, Mihoko', 'Senou, Reiko']
animeStaff	[['Chopin, Frédéric', 'Music'], ['Fukuda, Gen', 'Animation Director, Character Design']]
