animeTitle	Vanquished Queens Specials
animeType	Special
animeNumEpisode	4
releaseDate	2013-03-29 00:00:00
endDate	2014-09-30 00:00:00
animeNumMembers	5691
animeScore	5.5
animeUsers	1873
animeRank	10394
animePopularity	6652
animeDescription	Specials included on the Vanquished Queens Blu-rays/DVDs.
animeRelated	['Vanquished Queens']
animeCharacters	['Airi', 'Tomoe', 'Aldra', 'Vance, Leina', 'Echidna', 'Liliana', 'Irma', 'Welveria']
animeVoices	['Itou, Kanae', 'Noto, Mamiko', 'Taketatsu, Ayana', 'Kawasumi, Ayako', 'Kaida, Yuki', 'Itou, Shizuka', 'Kano, Yui', 'Minagawa, Junko']
animeStaff	[['Itagaki, Shin', 'Episode Director, Storyboard, Key Animation'], ['Takamura, Kazuhiro', 'Original Character Design']]
