animeTitle	b'Tsugu Tsugumomo'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.47
animeUsers	27151
animeRank	
animePopularity	
animeDescription	"b'When ""ordinary boy"" Kagami Kazuya meets the beautiful tsukumogami Kiriha, his life gets turned upside-down. As a ""Taboo Child"" who draws the supernatural towards him, he receives orders from the God of the Land, Kukuri, to become an exorcist and defeat these evil forces. And so, he and Kiriha do battle.\n\nTo find out information on these supernatural beings, Kazuya and his friends set up a counselor\'s club at school. But behind the typical-seeming troubles he hears about, he uncovers a major plot to target Kukuri...\n\nIn addition to the sadistic-yet-beautiful tsukumogami Kiriha, the situation draws other girls to Kazuya to join the fray!\n\n(Source: Crunchyroll)'"
animeRelated	[b'Tsugumomo', b'Tsugu Tsugumomo Mini Anime']
animeCharacters	[b'Kiriha', b'Kagami, Kazuya ', b'Kukuri', b'Kokuyou', b'Sumeragi, Sunao', b'Osanai, Osamu', b'Chikaishi, Chisato', b'Kagami, Kanaka', b'Kagami, Kasumi', b'Tadata, Tadataka']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nKuramoto, Masaya\n\nProducer\n\n', b'\nKuraya, Ryouichi\n\nDirector, Series Composition\n\n', b'\nGou, Fumiyuki\n\nSound Director\n\n', b'\nIwanaga, Daiji\n\nEpisode Director, Storyboard\n\n']
