animeTitle	Zegapain ADP
animeType	Movie
animeNumEpisode	1
releaseDate	2016-10-15 00:00:00
endDate	
animeNumMembers	
animeScore	5.93
animeUsers	220
animeRank	
animePopularity	8470
animeDescription	"Animation studio Sunrise has announced at AnimeJapan 2016 that its 2006 mecha anime series Zegapain will be re-edited into a movie titled Zegapain ADP. The movie will also include new scenes not present in the TV anime.

(Source: MAL News)"
animeRelated	['Zegapain']
animeCharacters	['Kaminagi, Ryouko', 'Sogoru, Kyou', 'Misaki, Shizuno', 'Mao, Lu Sheng', 'Shima', 'Jen, May-Yu', 'May-Yen']
animeVoices	['Hanazawa, Kana', 'Asanuma, Shintaro', 'Kawasumi, Ayako', 'Park, Romi', 'Tsuboi, Tomohiro', 'Makino, Yui', 'Watanabe, Akeno']
animeStaff	[['Yamakawa, Norio', 'Producer'], ['Hamano, Takatoshi', 'Sound Director'], ['Arai, Akino', 'Theme Song Performance'], ['Shibata, Akiko', 'Color Design']]
