animeTitle	Shinmai Maou no Testament Departures
animeType	OVA
animeNumEpisode	1
releaseDate	2018-03-28 00:00:00
endDate	
animeNumMembers	73378
animeScore	6.93
animeUsers	32015
animeRank	4052
animePopularity	1984
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Shinmai Maou no Testament', 'Shinmai Maou no Testament Burst: Toujou Basara no Shigoku Heiwa na Nichijou', 'Shinmai Maou no Testament Departures: Maria no Hizou Eizou']
animeCharacters	['Naruse, Mio', 'Toujou, Basara', 'Hasegawa, Chisato', 'Naruse, Maria', 'Nonaka, Yuki', 'Zest', 'Nonaka, Kurumi', 'Takigawa, Yahiro', 'Shella', 'Tachibana, Nanao']
animeVoices	['Asai, Ayaka', 'Nakamura, Yuuichi', 'Asakawa, Yuu', 'Fukuhara, Kaori', 'Bridcutt, Sarah Emi', 'Yoshida, Seiko', 'Nomizu, Iori', 'Sugita, Tomokazu', 'Nishihara, Kumiko', 'Tano, Asami']
animeStaff	[['Saitou, Hisashi', 'Director'], ['Takahashi, Tsuyoshi', 'Sound Director'], ['Yamada, Yasunori', 'Script'], ['Takanashi, Yasuharu', 'Music']]
