animeTitle	b'Bakuten Shoot Beyblade'
animeType	b'TV'
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	6.74
animeUsers	60842
animeRank	
animePopularity	
animeDescription	"b""Thirteen-year-old Tyson Granger (Takao Kinomiya), along with his fellow teammates, Kai Hiwatari, Max Tate (Max Mizuhura), and Ray Kon (Rei Kon), strive to become the greatest Beybladers in the world. With the technical help of the team's resident genius, Kenny (Kyouju), and with the powerful strength of their BitBeasts, the Bladebreakers armed with their tops (AKA: Blades) attempt to reach their goal.\n\n(Source: ANN)"""
animeRelated	[b'Bakuten Shoot Beyblade', b'Bakuten Shoot Beyblade 2002', b'Metal Fight Beyblade']
animeCharacters	[b'Hiwatari, Kai', b'Kon, Rei', b'Kinomiya, Takao', b'Mizuhara, Max', b'Kyouju', b'Ivanov, Yuriy', b'Chou, Mao', b'Kuznetsov, Boris', b'Petrov, Sergei', b'Chou, Rai']
animeVoices	[b'\nTakano, Urara\nJapanese\n', b'\nHisakawa, Aya\nJapanese\n', b'\nKumai, Motoko\nJapanese\n', b'\nOrikasa, Ai\nJapanese\n', b'\nKuwashima, Houko\nJapanese\n', b'\nMorita, Kiyu\nJapanese\n', b'\nKomatsu, Yuka\nJapanese\n', b'\nMizuta, Wasabi\nJapanese\n', b'\nSugita, Tomokazu\nJapanese\n', b'\nNagano, Kouichi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKawase, Toshifumi\n\nDirector\n\n', b'\nIshiodori, Hiroshi\n\nEpisode Director\n\n', b'\nKou, Yuu\n\nEpisode Director\n\n', b'\nOzeki, Masayuki\n\nEpisode Director, Storyboard\n\n']
