animeTitle	b'Amagami SS+ Plus'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.41
animeUsers	78846
animeRank	
animePopularity	
animeDescription	"b""In the aftermath of Amagami SS, high school student Junichi Tachibana continues his relationships with the girls at his school. Amagami SS+ Plus offers a glimpse into what happened after the resolution of each girl's individual story. \n\nNew events begin to take place between each of the girls and Junichi. Tsukasa Ayatsuji, the class representative, runs for student council president; Rihoko Sakurai, who has taken over the Tea Club with Junichi, still wants to confess her feelings to him; Ai Nanasaki questions the future of her relationship with Junichi when he leaves for college; Kaoru Tanamachi wonders if her relationship with Junichi will ever go any further; Sae Nakata and Junichi deal with classmates who still can't believe that someone so cute is his girlfriend; and Haruka Morishima wants to take their relationship to the next level and get married.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Amagami SS', b'Amagami SS+ Plus: Extra Episode+ Plus', b'Amagami SS+ Plus Picture Drama', b'Seiren']
animeCharacters	[b'Morishima, Haruka', b'Ayatsuji, Tsukasa', b'Nanasaki, Ai', b'Tanamachi, Kaoru', b'Nakata, Sae', b'Sakurai, Rihoko', b'Tachibana, Junichi', b'Tachibana, Miya', b'Kamizaki, Risa', b'Tsukahara, Hibiki']
animeVoices	[b'\nItou, Shizuka\nJapanese\n', b'\nNazuka, Kaori\nJapanese\n', b'\nYukana\nJapanese\n', b'\nSatou, Rina\nJapanese\n', b'\nKonno, Hiromi\nJapanese\n', b'\nShintani, Ryouko\nJapanese\n', b'\nMaeno, Tomoaki\nJapanese\n', b'\nAsumi, Kana\nJapanese\n', b'\nKadowaki, Mai\nJapanese\n', b'\nAsakawa, Yuu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNakamura, Shinichi\n\nProducer\n\n', b'\nKobayashi, Tomoki\n\nDirector\n\n', b'\nIida, Satoki\n\nSound Director\n\n', b'\nIshiguro, Kyouhei\n\nEpisode Director, Storyboard\n\n']
