animeTitle	Haai Step Jun
animeType	TV
animeNumEpisode	45
releaseDate	1985-03-10 00:00:00
endDate	1986-01-12 00:00:00
animeNumMembers	
animeScore	6.33
animeUsers	237
animeRank	
animePopularity	11334
animeDescription	"Jun is a very intelligent little girl who spends her time arranging all kinds of inventions. It goes until creating two small robots, Kichinosuke and Yukinojo, who become her best friends. Because of her intelligence, Jun gets into college at a young age and she meets and falls in love with a boy from her class who's called Zero. Zero is interested in motorbikes and not in school and is accustomed to not attending the courses. He got delayed in his schooling and thus is found much older than the other students and is there for humiliated for it. On the other hand Jun is way too young and little to be in college and is made fun of. Thanks to their common passion for mechanics, Zero will sympathize with Jun and will agree to dine with her in Harbor, the restaurant where Jun's parents live. This is long series of fun adventures and arguments that little Jun will make to allure her charming prince, who's twice older than her.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Nonomiya, Jun', 'Kichinosuke', 'Zero', 'Tanaka, Masako', 'Satou, Yoshiko', 'Nonomiya, Toshie', 'Nonomiya, Keiichirou', 'Hanyuu, Hitoshi']
animeVoices	['Yamamoto, Yuriko', 'Tsukase, Noriko', 'Nanba, Keiichi', 'Watanabe, Naoko', 'Tonguu, Kyouko', 'Uemura, Noriko', 'Hase, Sanji', 'Tanaka, Ryouichi']
animeStaff	[['Satou, Junichi', 'Co-Director, Episode Director, Storyboard, Assistant Director'], ['Kaizawa, Yukio', 'Episode Director'], ['Kasai, Osamu', 'Episode Director'], ['Serizawa, Hiroaki', 'Theme Song Composition']]
