animeTitle	Littleforestmello
animeType	ONA
animeNumEpisode	3
releaseDate	2016-09-06 00:00:00
endDate	2017-09-21 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13799
animeDescription	"An introductory anime of Littleforestfellow, who is a rabbit boy and the second cousin of My Melody. He is nicknamed ""Mello"" (めろぉ). He really likes My Melody and likes to collect buttons with her. His birthday is on January 18th, just like My Melody. 

(Source: Wikia)"
animeRelated	['Onegai My Melody']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
