animeTitle	b'Koisuru Tenshi Angelique: Kokoro no Mezameru Toki'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.85
animeUsers	3271
animeRank	
animePopularity	
animeDescription	b'A young girl named Ange is summoned to a Sacred Land and is chosen as the Legendary Etoile, whose mission is to save the newly-born Cosmos of the Holy Beast, which has recently fallen under a crisis. With the support of nine Guardians (who have the power of nine elements), she embarks on a journey to save the dying land of the Holy Beast and to discover her true self. \n\n(Source: ANN)'
animeRelated	[b'Angelique', b'Koisuru Tenshi Angelique: Kagayaki no Ashita', b'Angelique: Shiroi Tsubasa no Memoire', b'Koisuru Tenshi Angelique: Chibi Character Adventure']
animeCharacters	[b'Clavis', b'Zephel', b'Ange', b'Oscar', b'Olivie', b'Randy', b'Julious', b'Luva', b'Lumiale', b'Marcel']
animeVoices	[b'\nTanaka, Hideyuki\nJapanese\n', b'\nIwata, Mitsuo\nJapanese\n', b'\nHonna, Youko\nJapanese\n', b'\nHoriuchi, Kenyuu\nJapanese\n', b'\nKoyasu, Takehito\nJapanese\n', b'\nCanna, Nobutoshi\nJapanese\n', b'\nHayami, Show\nJapanese\n', b'\nSeki, Toshihiko\nJapanese\n', b'\nTobita, Nobuo\nJapanese\n', b'\nYuuki, Hiro\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKudou, Susumu\n\nDirector, Episode Director\n\n', b'\nKikuta, Hiromi\n\nSound Director\n\n', b'\nNoshitani, Mitsutaka\n\nEpisode Director\n\n', b'\nShimada, Michiru\n\nScript, Series Composition\n\n']
