animeTitle	b'Arakawa Under the Bridge'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.58
animeUsers	132841
animeRank	
animePopularity	
animeDescription	b'Kou Ichinomiya is the son of a wealthy businessman who holds a firm belief in his elite status. As such, he is determined to avoid becoming indebted to anyone; but one day, after a run-in with some mischievous kids on Arakawa Bridge, he ends up falling into the river running underneath. Luckily for him, a passerby is there to save him\xe2\x80\x94but now, he owes his life to this stranger!\n\nAngered by this, Kou insists on paying her back, but this may just be the worst deal the arrogant businessman has ever made. The stranger\xe2\x80\x94a stoic, tracksuit-wearing homeless girl known only as Nino\xe2\x80\x94lives in a cardboard box under the bridge and wants only one thing: to fall in love. Asking Kou to be her boyfriend, he has no choice but to accept, forcing him to move out of his comfortable home and start a new life under the bridge!\n\n[Written by MAL Rewrite]\n'
animeRelated	[b'Arakawa Under the Bridge', b'Arakawa Under the Bridge x Bridge']
animeCharacters	[b'Nino', b'Ichinomiya, Kou', b'Hoshi', b'Maria', b'Sister', b'Village Chief', b'P-ko', b'Billy', b'Stella', b'Amazoness']
animeVoices	[b'\nSakamoto, Maaya\nJapanese\n', b'\nKamiya, Hiroshi\nJapanese\n', b'\nSugita, Tomokazu\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nKoyasu, Takehito\nJapanese\n', b'\nFujiwara, Keiji\nJapanese\n', b'\nOmigawa, Chiaki\nJapanese\n', b'\nTachiki, Fumihiko\nJapanese\n', b'\nSaitou, Chiwa\nJapanese\n', b'\nKobayashi, Yuu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOoshima, Miku\n\nAssistant Producer\n\n', b'\nShinbou, Akiyuki\n\nDirector\n\n', b'\nMiyamoto, Yukihiro\n\nDirector, Episode Director\n\n', b'\nTsuruoka, Youta\n\nSound Director\n\n']
