animeTitle	Beelzebub Specials
animeType	Special
animeNumEpisode	16
releaseDate	2011-06-29 00:00:00
endDate	2012-09-26 00:00:00
animeNumMembers	20917
animeScore	7.36
animeUsers	5894
animeRank	2110
animePopularity	3931
animeDescription	Beelzebub specials included in the BD/DVD releases.
animeRelated	['Beelzebub']
animeCharacters	['Oga, Tatsumi', 'Beelzebub IV, Kaiser de Emperana', 'Furuichi, Takayuki', 'Kunieda, Aoi', 'Hildegard', 'Toujou, Hidetora', 'Kanzaki, Hajime', 'Himekawa, Tatsuya', 'Bathin de Emuna, Alaindelon']
animeVoices	['Sugita, Tomokazu']
animeStaff	[]
