animeTitle	Yu☆Gi☆Oh! (Movie)
animeType	Movie
animeNumEpisode	1
releaseDate	1999-03-06 00:00:00
endDate	
animeNumMembers	
animeScore	6.89
animeUsers	26537
animeRank	
animePopularity	2589
animeDescription	"""Blue Eyes White Dragon will bring victory"" while ""Red Eyes Black Dragon will bring the potential of victory"". A shy duelist stumbles upon the legendary Red Eyes Black Dragon, with that card in his possession, he must learn to bring out his confidence to duel.

(Source: ANN)"
animeRelated	['Yu☆Gi☆Oh!']
animeCharacters	['Yami Yuugi', 'Kaiba, Seto', 'Jounouchi, Katsuya', 'Mutou, Yuugi', 'Aoyama, Shougo', 'Mazaki, Anzu', 'Honda, Hiroto', 'Ryuuzaki, Dinosaur', 'Nosaka, Miho', 'Zorc Necrophades']
animeVoices	['Ogata, Megumi', 'Midorikawa, Hikaru', 'Morikawa, Toshiyuki', 'Yamada, Eiko', 'Kakazu, Yumi', 'Okiayu, Ryoutarou', 'Yukana', 'Kaidu, Yoshitaka']
animeStaff	[['Shimizu, Junji', 'Director'], ['WANDS', 'Theme Song Performance'], ['Komatsu, Miho', 'Theme Song Composition, Theme Song Lyrics'], ['Takahashi, Kazuki', 'Original Creator']]
