animeTitle	b'Akuma-kun'
animeType	b'TV'
animeNumEpisode	42
releaseDate	
endDate	
animeNumMembers	
animeScore	6.2
animeUsers	163
animeRank	
animePopularity	
animeDescription	"b""The age of the demons has begun. Dr Faust has foreseen this rise of evil. Unfortunately, he is near death and is unable to personally battle this upcoming threat. Faust entrusts a young boy, Shingo Yamada, to take the responsibility of ridding the Earth of this new evil presence. Faust finds a birthmark on Shingo's forehead that signifies that he is the chosen demon fighter. Faust summons from hell what may be humanity's only hope of surviving: a less than enthusiastic devil named Mephisto rises. After signing a pact in blood to save humankind, Shingo and Mephisto set out to battle the supernatural world.\n\n(Source: AniDB)"""
animeRelated	[b'Akuma-kun (Movie)', b'Akuma-kun (Shin Anime)', b'Akuma-kun: Youkoso Akuma Land e!!']
animeCharacters	[b'Mephisto Jr.', b'Hyakume', b'Umoregi, Shingo', b'Kajyu', b'Sasypelele', b'Yonaldepazutoli', b'Red Pixie', b'Blue Pixie', b'Old Mephisto', b'Yurg']
animeVoices	[b'\nFurukawa, Toshio\nJapanese\n', b'\nMiyuki, Sanae\nJapanese\n', b'\nMita, Yuuko\nJapanese\n', b'\nHirano, Masato\nJapanese\n', b'\nEmori, Hiroko\nJapanese\n', b'\nTanonaka, Isamu\nJapanese\n', b'\nNishihara, Kumiko\nJapanese\n', b'\nKawashima, Chiyoko\nJapanese\n', b'\nKamei, Saburou\nJapanese\n', b'\nKobayashi, Michitaka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSatou, Junichi\n\nDirector, Episode Director, Storyboard, Series Production Director\n\n', b'\nYamauchi, Shigeyasu\n\nEpisode Director, Storyboard\n\n', b'\nIshizaki, Susumu\n\nEpisode Director\n\n', b'\nSuga, Yoshiyuki\n\nScript\n\n']
