animeTitle	b'Tenki no Ko'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	8.34
animeUsers	405261
animeRank	
animePopularity	
animeDescription	"b'Tokyo is currently experiencing rain showers that seem to disrupt the usual pace of everyone living there to no end. Amidst this seemingly eternal downpour arrives the runaway high school student Hodaka Morishima, who struggles to financially support himself\xe2\x80\x94ending up with a job at a small-time publisher. At the same time, the orphaned Hina Amano also strives to find work to sustain herself and her younger brother.\n\nBoth fates intertwine when Hodaka attempts to rescue Hina from shady men, deciding to run away together. Subsequently, Hodaka discovers that Hina has a strange yet astounding power: the ability to call out the sun whenever she prays for it. With Tokyo\'s unusual weather in mind, Hodaka sees the potential of this ability. He suggests that Hina should become a ""sunshine girl""\xe2\x80\x94someone who will clear the sky for people when they need it the most.\n\nThings begin looking up for them at first. However, it is common knowledge that power always comes with a hefty price...\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Tenki no Ko', b'Tenki No Ko', b'Tenki no Ko CMs']
animeCharacters	[b'Amano, Hina', b'Morishima, Hodaka', b'Miyamizu, Mitsuha', b'Tachibana, Taki', b'Suga, Natsumi', b'Amano, Nagi', b'Suga, Keisuke', b'Sakura, Kana', b'Takai', b'Yasui']
animeVoices	[b'\nMori, Nana\nJapanese\n', b'\nDaigo, Kotarou\nJapanese\n', b'\nKamishiraishi, Mone\nJapanese\n', b'\nKamiki, Ryunosuke\nJapanese\n', b'\nHonda, Tsubasa\nJapanese\n', b'\nKiryuu, Sakura\nJapanese\n', b'\nOguri, Shun\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nKaji, Yuki\nJapanese\n', b'\nHiraizumi, Sei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShinkai, Makoto\n\nDirector, Script, Original Creator\n\n', b'\nYamada, Haru\n\nSound Director\n\n', b'\nImura, Kenji\n\nEpisode Director\n\n', b'\nTokuno, Yuuga\n\nEpisode Director\n\n']
