animeTitle	b'Beyblade Burst Dynamite Battle'
animeType	b'ONA'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	6.22
animeUsers	281
animeRank	
animePopularity	
animeDescription	"b'""There is a strong guy, come and challenge Daikokuten Bell!""\n\nRumors were widespread in the world about the Bey Cemetery, ""The Gate of Makai."" And the owner is Daikokuten Bell. He is the true ""Demon King"" who is proud of being undefeated at The Gate of Makai. \n\nBell jacks the broadcasts around the world and declares war on all Bladers! The Devil\'s Bay in his hand,\nDynamite Belial! In front of the unknown Beyblade, legends such as Valt Aoi also stand up to face him!\n\nNow, the legend of Demon King Bell, who has turned the whole world into an enemy, is about to begin!\n\n(Source: Official Site)'"
animeRelated	[b'Beyblade Burst Sparking']
animeCharacters	[b'Daikokuten, Bell', b'De La Hoya, Free', b'Aoi, Valt', b'Mao, Illya', b'Goodman, Rashad', b'Kiyama, Ranzo', b'Suiryu, Basara']
animeVoices	[b'\nTamura, Mutsumi\nJapanese\n', b'\nOkabayashi, Fumihiro\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAkiyama, Katsuhito\n\nDirector\n\n', b'\nOh, Jin-Gu\n\nDirector\n\n', b'\nMatsuoka, Hiroki\n\nSound Director\n\n', b'\nNORISTRY\n\nTheme Song Performance\n\n']
