animeTitle	Go! Go! 575
animeType	TV
animeNumEpisode	4
releaseDate	2014-01-10 00:00:00
endDate	2014-01-31 00:00:00
animeNumMembers	
animeScore	5.64
animeUsers	5690
animeRank	
animePopularity	5148
animeDescription	"Go! Go! 575 adapts the Project 575 games for PlayStation Vita and iOS, which allow anyone to create songs using the traditional Japanese 5-7-5-syllable meter found in haiku and tanka poems.

(Source: ANN)"
animeRelated	['Go! Go! 575: Meippai ni, Hajiketeru?']
animeCharacters	['Kobayashi, Matcha', 'Masaoka, Azuki', 'Yosano, Yuzu']
animeVoices	['Ohashi, Ayaka', 'Ootsubo, Yuka', 'Kotobuki, Minako']
animeStaff	[['Yonai, Noritomo', 'Producer'], ['Anzai, Takefumi', 'Director, Episode Director, Storyboard'], ['Fujita, Akiko', 'Sound Director'], ['Koyanagi, Keigo', 'Script, Series Composition']]
