animeTitle	b'Funny Pets 2nd Season'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.42
animeUsers	165
animeRank	
animePopularity	
animeDescription	b'The story continues where it was left off from in the first season as Crescent and Corona continue bickering over Funny.'
animeRelated	[b'Funny Pets']
animeCharacters	[b'Funny', b'Corona', b'Crescent', b'Horley']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nMasuda, Ryuuji\n\nDirector\n\n', b'\nKurahashi, Shizuo\n\nSound Effects\n\n']
