animeTitle	Shaka no Shougai
animeType	Movie
animeNumEpisode	1
releaseDate	1961-01-01 00:00:00
endDate	
animeNumMembers	157
animeScore	
animeUsers	
animeRank	13168
animePopularity	16833
animeDescription	"After a portentous dream about a white elephant, the ancient Hindu princess Maya gives birth to a prince. Reared in seclusion from the troubles of the world, Prince Siddhartha is troubled by sights of poverty and deprivation when he is 12 years old. He is married to a beautiful wife, but he is unable to bear the thought of others suffering, and leaves the palace in search of an answer. While sitting underneath a tree, he achieves enlightenment.

(Source: The Anime Encyclopedia)

"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
