animeTitle	b'Bikyaku Seido Kaichou Ai'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.5
animeUsers	1950
animeRank	
animePopularity	
animeDescription	b'A caddie for the student council can only put up with so many insults before he starts wanting revenge. In this case it comes in the form of blackmail, sex, and a satisfied leg fetish. '
animeRelated	[]
animeCharacters	[b'Nonomiya, Ai']
animeVoices	[b'\nMizusawa, Kei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKaidou, Tsukasa\n\nDirector\n\n']
