animeTitle	b'Jean Valjean Monogatari'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.15
animeUsers	164
animeRank	
animePopularity	
animeDescription	"b'Animated adaptation of Victor Hugo\'s ""Les Mis\xc3\xa9rables"".'"
animeRelated	[b'Les Mis\xc3\xa9rables: Shoujo Cosette']
animeCharacters	"[b'Valjean, Jean', b""Thenardier's Wife""]"
animeVoices	[b'\nKobayashi, Akiji\nJapanese\n', b'\nNunami, Terue\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHugo, Victor\n\nOriginal Creator\n\n', b'\nYamaguchi, Yasuo\n\nPlanning\n\n', b'\nAoshima, Katsumi\n\nKey Animation\n\n']
