animeTitle	Kaminari Boy Pikkari★bee
animeType	TV
animeNumEpisode	53
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15284
animeDescription	"A comedy about a mischievous boy. Each episode contains 2 stories.

Based on a manga by Murotani Tsunezou.

(Source: AniDB)"
animeRelated	['Kaminari Boy Pikatta-kun no Koutsu Anzen', 'Kaminari Boy Pikatta-kun no Jitensha Kyoushitsu']
animeCharacters	['Pikkaribee']
animeVoices	['Chiaki, Chiaki']
animeStaff	[['Mitsunobu, Hiroyoshi', 'Episode Director'], ['Amachi, Fusako', 'Theme Song Performance']]
