animeTitle	Majo Minarai wo Sagashite
animeType	Movie
animeNumEpisode	1
releaseDate	2020-11-13 00:00:00
endDate	
animeNumMembers	
animeScore	7.57
animeUsers	882
animeRank	
animePopularity	5858
animeDescription	"27-year-old Tokyo office worker Mire Yoshizuki just returned to Japan, while 22-year-old fourth-year college student Sora Nagase aspires to be a teacher, and 20-year-old boyish Reika Kawatani is a part-time Hiroshima okonomiyaki shop worker and freelancer. What draws together these three women from completely different walks of life is a magic gem. A ""New Magical Story"" begins when they are mysteriously brought together by chance and embark on a journey.

(Source: ANN)"
animeRelated	['Ojamajo Doremi']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
