animeTitle	Kaibutsu ga, Umareta Hi.
animeType	Special
animeNumEpisode	1
releaseDate	2017-03-31 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16547
animeDescription	"Okawara was commissioned to create this animated short to promote the live-action TV series Frankenstein's Love. Loosely based on Mary Shelley's Frankenstein, it depicts the lonely life of a monster over the course of more than a century.

(Source: NHK)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
