animeTitle	Dramaturgy
animeType	Music
animeNumEpisode	1
releaseDate	2017-10-10 00:00:00
endDate	
animeNumMembers	
animeScore	7.8
animeUsers	2239
animeRank	
animePopularity	8092
animeDescription	"An original song by Eve, sung by Hatsune Miku, animated by Mah. Eve's self-cover uses the same animated footage and was released on October 11, 2017. Eve included his self-cover MV on his own self-made record label harapeco records's CD+DVD release on December 13, 2017 as a part of his ""Bunka"" album."
animeRelated	['Ano Ko Secret', 'Nonsense Bungaku', 'Oki ni Mesu mama']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
