animeTitle	Kamiusagi Rope
animeType	Movie
animeNumEpisode	14
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13361
animeDescription	The first series from the GiftMovie Project, which was aired in between theater commercials at all 57 TOHO Cinemas theaters. It features a rabbit called Rope and his senpai squirrel Akira, and their long, disrupted way to the movie theater.
animeRelated	['Kamiusagi Rope 2', 'Kamiusagi Rope Specials', 'Kamiusagi Rope x TOHO Cinemas', 'Kamiusagi Rope x TOHO Cinemas (Movies)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
