animeTitle	"b""Tales of Symphonia The Animation: Tethe'alla-hen"""
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	7.48
animeUsers	12542
animeRank	
animePopularity	
animeDescription	"b""The second arc of Tales of Symphonia that takes place in the flourishing world of Tethe'alla. This OVA takes place up to two-thirds of the game, prior to the Derris-Kharlan arc."""
animeRelated	"[b'Tales of Symphonia The Animation: Sylvarant-hen', b""Tales of Symphonia The Animation: Tethe'alla-hen Specials"", b'Tales of Symphonia The Animation: Sekai Tougou-hen']"
animeCharacters	[b'Aurion, Kratos', b'Wilder, Zelos', b'Irving, Lloyd', b'Fujibayashi, Sheena', b'Combatir, Presea', b'Sage, Genius', b'Sage, Refill', b'Bryant, Regal', b'Brunel, Colette', b'Yggdrasill, Mithos']
animeVoices	[b'\nTachiki, Fumihiko\nJapanese\n', b'\nOnosaka, Masaya\nJapanese\n', b'\nKonishi, Katsuyuki\nJapanese\n', b'\nOkamura, Akemi\nJapanese\n', b'\nKuwashima, Houko\nJapanese\n', b'\nOrikasa, Ai\nJapanese\n', b'\nTouma, Yumi\nJapanese\n', b'\nOotsuka, Akio\nJapanese\n', b'\nMizuki, Nana\nJapanese\n', b'\nTakayama, Minami\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSotozaki, Haruo\n\nDirector, Episode Director, Storyboard, Key Animation\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nMizuki, Nana\n\nTheme Song Performance, Inserted Song Performance\n\n', b'\nShikata, Akiko\n\nTheme Song Performance\n\n']
