animeTitle	Coffee Ikaga Deshou
animeType	ONA
animeNumEpisode	30
releaseDate	2018-08-24 00:00:00
endDate	
animeNumMembers	565
animeScore	
animeUsers	
animeRank	15289
animePopularity	12676
animeDescription	"The anime follows a coffee food truck shop, where the barista makes an individual cup for each customer. The coffee brewed conscientiously, sincerely, and wholeheartedly helps customers unwind.

(Source: ANN)"
animeRelated	['Coffee Ikaga Deshou']
animeCharacters	['Aoyama, Hajime', 'Baba', 'Gakine, Shima']
animeVoices	['Saitou, Souma', 'Katou, Emiri', 'Akasaki, Chinatsu']
animeStaff	[['Kawakami, Eimi', 'Producer, Director, Episode Director, 2nd Key Animation, Animation Director'], ['Satou, Masashi', 'Sound Director'], ['Ootaki, Kenichi', 'Key Animation, Director of Photography'], ['Konari, Misato', 'Original Creator']]
