animeTitle	Mahoutsukai ni Taisetsu na Koto
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.73
animeUsers	6247
animeRank	
animePopularity	3708
animeDescription	"Yume Kikuchi, a girl who can use magic, goes to Tokyo to be an apprentice mage to the handsome Masami Oyamada (a professional mage). In Tokyo, Yume learns about magic, helping people, and various other things on her way to being a mage. But she soon also finds out that even just magic alone isn't enough to make someone truly happy...

(Source: ANN)"
animeRelated	['Mahoutsukai ni Taisetsu na Koto', 'Mahoutsukai ni Taisetsu na Koto: Natsu no Sora']
animeCharacters	['Kikuchi, Yume', 'Oyamada, Masami', 'Brooks, Angela', 'Furusaki, Rikiya', 'Inoue, Sakuya ', 'Morikawa, Runa', 'Zennosuke', 'Kato, Go', 'Iwashita, Melinda', 'Iwanaga, Junko']
animeVoices	['Miyazaki, Aoi', 'Suwabe, Junichi', 'Watanabe, Akeno', 'Kiyokawa, Motomu', 'Tobita, Nobuo', 'Ishige, Sawa', 'Ueda, Yuuji', 'Iida, Hiroshi', 'Hiramatsu, Akiko', 'Kurumado, Akiko']
animeStaff	[['Matsuda, Akio', 'Producer'], ['Shimoda, Masami', 'Director'], ['Tanaka, Hideyuki', 'Sound Director'], ['Nakayama, Katsuichi', 'Episode Director, Storyboard, Key Animation']]
