animeTitle	b'Moon Pride'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.85
animeUsers	2676
animeRank	
animePopularity	
animeDescription	"b'Music video for Momoiro Clover Z\'s song ""MOON PRIDE""'"
animeRelated	[b'Bishoujo Senshi Sailor Moon Crystal']
animeCharacters	[b'Tsukino, Usagi', b'Hino, Rei', b'Kino, Makoto', b'Aino, Minako', b'Mizuno, Ami', b'Chiba, Mamoru', b'Luna', b'Oosaka, Naru', b'Umino, Gurio', b'Sakurada, Haruna']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nRevo\n\nTheme Song Lyrics, Theme Song Composition, Theme Song Arrangement\n\n', b'\nMomoiro Clover Z\n\nTheme Song Performance\n\n', b'\nTakeuchi, Naoko\n\nOriginal Creator\n\n']
