animeTitle	Kamisama Dolls Specials
animeType	Special
animeNumEpisode	6
releaseDate	2011-09-21 00:00:00
endDate	2012-02-22 00:00:00
animeNumMembers	
animeScore	5.93
animeUsers	2631
animeRank	
animePopularity	6311
animeDescription	Short episodes included in the Kamisama Dolls Blu-ray and DVD volumes.
animeRelated	['Kamisama Dolls']
animeCharacters	['Kuga, Utao', 'Hyuuga, Mahiru', 'Shiba, Hibino', 'Kuga, Aki']
animeVoices	['Fukuen, Misato', 'Hanazawa, Kana', 'Kayano, Ai', 'Kimura, Ryouhei']
animeStaff	[['Kosaka, Harume', 'Storyboard'], ['Yamamura, Hajime', 'Original Creator']]
