animeTitle	Slayers Great
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.33
animeUsers	8803
animeRank	
animePopularity	4222
animeDescription	"Laia Einburg wants for her father Galia, who is a talented golom maker, and her equally ambitious brother Huey to end a long running feud. But her luck changes for the worse when Lina Inverse and Naga the Serpent save Laia from a rampaging golem. 

(Source: ANN)"
animeRelated	['Slayers Original Movie Screenplay Book', 'Slayers Gorgeous', 'Slayers Return']
animeCharacters	"['Inverse, Lina', 'Saillune, Gracia Ul Naga', ""Granion's Aid"", 'Sorcerer', 'Einburg, Galia', 'Lord Haizen', 'Einburg, Huey', 'Lord Granion', 'Einburg, Laia']"
animeVoices	['Hayashibara, Megumi', 'Kawamura, Maria', 'Shiozawa, Kaneto', 'Katou, Seizou', 'Kawakubo, Kiyoshi', 'Koyasu, Takehito', 'Wakamoto, Norio', 'Inoue, Kikuko']
animeStaff	[['Yuyama, Kunihiko', 'Director, Storyboard'], ['Watanabe, Hiroshi', 'Director'], ['Kobayashi, Katsuyoshi', 'Sound Director'], ['Hayashibara, Megumi', 'Theme Song Performance']]
