animeTitle	Hiyokoi
animeType	Special
animeNumEpisode	1
releaseDate	2010-07-30 00:00:00
endDate	
animeNumMembers	
animeScore	7.3
animeUsers	45269
animeRank	
animePopularity	1789
animeDescription	"Hiyori, a small and timid girl, goes to school for the first time in a year since an accident left her hospitalized. Follow her as she struggles with her social skills, tries to make friends and maybe even a little bit more...?

(Source: One Manga)"
animeRelated	['Hiyokoi', 'Hiyokoi (2012)']
animeCharacters	['Nishiyama, Hiyori', 'Hirose, Yuushin', 'Nakano, Ritsuka', 'Aizawa, Natsuki', 'Tanaka, Hiroshi', 'Misa']
animeVoices	['Taketatsu, Ayana', 'Suzumura, Kenichi', 'Fujita, Saki', 'Sanpei, Yuuko', 'Touyama, Nao']
animeStaff	[['Nakatake, Tetsuya', 'Producer'], ['Naganuma, Norihiro', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Yukimaru, Moe', 'Original Creator']]
