animeTitle	Onna Senshi Efe & Jira: Gude no Monshou
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.5
animeUsers	457
animeRank	
animePopularity	10505
animeDescription	"Two partners Effera and Jiliora escape from a slave boat with the aid of their friend Orlin and a young boy named Kilian. When Kilian is killed in the escape Effera and Jiliora take it upon themselves to return Kilian's pendant to his two siblings who are being held captive by Baron Celdion, who is plotting to take over all of the neighboring countries.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Effera', 'Jiliora', 'Orlin', 'Shagan', 'Rubiera', 'Kilian', 'Celdion, Baron']
animeVoices	['Matsui, Naoko', 'Ikura, Kazue', 'Yajima, Akiko', 'Hayami, Show', 'Asami, Junko', 'Touma, Yumi', 'Ginga, Banjou']
animeStaff	[['Chiba, Kouichi', 'Sound Director'], ['Matsui, Naoko', 'Theme Song Performance'], ['Nakazawa, Kazuto', 'Key Animation'], ['Hashimoto, Shinji', 'Key Animation']]
