animeTitle	Chouon Senshi Borgman
animeType	TV
animeNumEpisode	35
releaseDate	1988-04-13 00:00:00
endDate	1988-12-21 00:00:00
animeNumMembers	2516
animeScore	6.32
animeUsers	359
animeRank	7063
animePopularity	8843
animeDescription	"Sonic Soldier Borgman is a science fiction that comebines super sentai with non-gattai. It features a sentai-like three members team that fight an organization known as Youma. Features three characters with three basic ranger colors: Pink, Blue and Green. Featuring three main characters: Chuck, Ryo and Anise, Ryo is the leader, Chuck and Anise are teachers at a public school. Sometimes, the students help or make troubles to the Borgman somehow, some even know the Borgman secret identities. Ryo has a talking ""modern"" blue motorcycle that can upgrade itself. The transformation code is ""Borg. Get On"". Each member has a personal cannon that matches his/her armor color that appears only to finish the monster they fight."
animeRelated	['Chouon Senshi Borgman: Madnight☆Gigs!']
animeCharacters	['Jead, Dust', 'Farm, Anice', 'Hibiki, Ryou', 'Sweagar, Chuck', 'Jean, Memory', 'Narrator', 'Rand', 'Molly', 'Katsura, Miki', 'Shinji']
animeVoices	['Yamadera, Kouichi', 'Takamori, Yoshino', 'Matsumoto, Yasunori', 'Inoue, Kazuhiko', 'Katsuki, Masako', 'Ootaki, Shinya', 'Sakurai, Toshiharu', 'Koujiro, Chie', 'Matsui, Naoko', 'Hibino, Akari']
animeStaff	[['Negishi, Hiroshi', 'Director'], ['Shimizu, Katsunori', 'Sound Director'], ['Kato, Takao', 'Episode Director, Storyboard'], ['Aikawa, Shou', 'Script']]
