animeTitle	Examurai Sengoku
animeType	TV
animeNumEpisode	24
releaseDate	2009-01-11 00:00:00
endDate	2009-06-25 00:00:00
animeNumMembers	3975
animeScore	6.29
animeUsers	529
animeRank	7241
animePopularity	7657
animeDescription	"The Examurai Sengoku anime production depicts the members of the EXILE group as futuristic samurai that are transported back in time to Japan’s sengoku (warring states) period. The anime character renditions of the EXILE members were designed by manga creator Hiroshi Takahashi (Crows, Worst). 

(Source: AniDB)"
animeRelated	['Examurai', 'Examurai Sengoku Recap']
animeCharacters	['Atsushi', 'Matsu', 'Akira', 'Takahiro', 'Makidai', 'Usa', 'Hiro', 'Nori']
animeVoices	['Tanaka, Hiroki', 'Kazama, Yuuto', 'Matsuda, Kenichirou', 'Masuda, Yuuki', 'Endou, Daisuke', 'Suzuki, Chihiro', 'Inada, Tetsu', 'Hiranuma, Norihisa']
animeStaff	[['Motoyama, Satoshi', 'Sound Director'], ['Takahashi, Hiroshi', 'Original Character Design'], ['Miura, Kouji', 'Series Composition']]
