animeTitle	Ookami-san wa Taberaretai
animeType	TV
animeNumEpisode	3
releaseDate	2020-09-07 00:00:00
endDate	2020-09-21 00:00:00
animeNumMembers	
animeScore	5.85
animeUsers	6158
animeRank	
animePopularity	4229
animeDescription	"""I want Akagashira-sensei to be my first!""

Having a run in with the ""skirt bandit,"" Ookami almost has her skirt stolen. Her teacher, Akagashira, passes by and becomes her hero after stopping the theft. As thanks, Ookami invites Akagashira to her home, but she has another reason for bringing him over. 

(Source: WWWave Corporation, edited)"
animeRelated	['Ookami-san wa Taberaretai: Bukiyou Joshi to Hetare Kyoushi, Konya Hatsutaiken shimasu.']
animeCharacters	['Ookami, Hinako', 'Akazu, Tatsumi', 'Obayama, Rei']
animeVoices	['Haruno, Iroha', 'Suzuki, You']
animeStaff	[['Toda, Kazuhiro', 'Director'], ['Hirasawa, Hisayoshi', 'Sound Director'], ['Hazuki, Saki', 'Theme Song Performance'], ['Onigiri, Musubi', 'Original Creator']]
