animeTitle	Tsuritama: Harikitte Contest
animeType	Special
animeNumEpisode	1
releaseDate	2012-11-21 00:00:00
endDate	
animeNumMembers	
animeScore	5.99
animeUsers	642
animeRank	
animePopularity	8590
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Tsuritama']
animeCharacters	['Haru', 'Sanada, Yuki', 'Yamada, Akira Agarkar', 'Usami, Natsuki', 'Urara']
animeVoices	[]
animeStaff	[]
