animeTitle	Dragon Knight Gaiden
animeType	OVA
animeNumEpisode	1
releaseDate	1995-02-25 00:00:00
endDate	
animeNumMembers	1453
animeScore	4.97
animeUsers	446
animeRank	
animePopularity	10242
animeDescription	"Takeru meets the boy Jodis which is in trouble for theft. Takeru saves him shares the night with him, finding out that Jodis is a girl. Later she is been kidnapped and Takeru goes to rescue her. 

(Source: AniDB)"
animeRelated	['Dragon Knight']
animeCharacters	['Yamato, Takeru', 'Jodis', 'Shade', 'Yurius']
animeVoices	[]
animeStaff	[['Toyooka, Kaoru', 'Director'], ['Kano, Akira', 'Character Design']]
