animeTitle	Mayonaka wa Junketsu
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.54
animeUsers	208
animeRank	
animePopularity	13594
animeDescription	"The story is that a mysterious woman fights with a baldheaded leader of an evil secret society. Sheena played the woman and Masato Minagawa, a keyboard player of her band, played the enemy's leader.

Her pet cat ""Goethe"" also appears in the music video as a cyborg cat. The heroine was named ""Mayo Kiyozumi"" (潔純真夜 Kiyozumi Mayo) according to the anagram of the song title.

(Source: Wikipedia)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
