animeTitle	Scan2Go
animeType	TV
animeNumEpisode	52
releaseDate	2010-08-09 00:00:00
endDate	2011-03-29 00:00:00
animeNumMembers	
animeScore	6.06
animeUsers	1142
animeRank	
animePopularity	8803
animeDescription	"Sometime in the near future, in an age in which we have established contact and communications with planets outside our galaxy, Scan2Go has become a huge phenomenon throughout all of outer space. Giant races are held at every locality, with each racer gunning for the title of the universe's number one racer!

The main character in the series, Kazuya, possesses the power of the eagle, performed well with his blazing, innate power commanding his falconine beast spirit. He competes in a tournament, the ""Pro-Racer Exhibition Race."", but was no match for the other teams that had won their way through the competitive Space Preliminaries.

Realizing the difficult obstacles that lie before them, Kazuya and his friends leave the small Earth behind and set off on a universe-wide quest to hone their skills as warriors!"
animeRelated	[]
animeCharacters	['Shibakusa, Shiro', 'Morishima, Futaba', 'Takayama, Daigo', 'Kaibara, Mitsuki', 'Daidoh, Kazuya']
animeVoices	['Hoshi, Souichirou', 'Nakahara, Mai', 'Satou, Kouta', 'Mizuhara, Kaoru', 'Hirata, Mana']
animeStaff	[['Hashimoto, Mitsuo', 'Director'], ['Nagamori, Yoshihiro', 'Original Character Design'], ['Willems, Karl', 'ADR Director'], ['Van Ermengem, Marie', 'ADR Director']]
