animeTitle	Sugar Bunnies
animeType	TV
animeNumEpisode	26
releaseDate	2007-04-03 00:00:00
endDate	2007-09-25 00:00:00
animeNumMembers	753
animeScore	
animeUsers	
animeRank	13574
animePopularity	11867
animeDescription	"Random cutesy edutainment tales aimed at small children, featuring animated speaking plushy toys.

Aired inside the anime corner of the Kitty's Paradise TV block."
animeRelated	['Sugar Bunnies: Taisetsu na Tomodachi e...']
animeCharacters	['Usa, Shiro', 'Usa, Kuro', 'Cherbourg, Sophia', 'Jeunet, Pierre', 'Usa, Mint', 'Usa, Cappucino', 'Dupont, Francoise', 'Usa, Strawberry', 'Usa, Komugi', 'Usa, Blueberry']
animeVoices	['Horie, Yui', 'Kimura, Akiko', 'Ueda, Kana', 'Masuda, Yuki', 'Sasamoto, Yuuko', 'Yurin', 'Kakazu, Yumi']
animeStaff	[['Asami, Matsuo', 'Episode Director'], ['Tsuji, Shintarou', 'Executive Producer']]
