animeTitle	b'Karneval Specials'
animeType	b'Special'
animeNumEpisode	11
releaseDate	
endDate	
animeNumMembers	
animeScore	6.9
animeUsers	1917
animeRank	
animePopularity	
animeDescription	b'Reproduction of ending scenes with the addition of new scenes.'
animeRelated	[b'Karneval (TV)']
animeCharacters	[b'Gareki', b'Yogi', b'Nai', b'Tsukumo', b'Hirato', b'Dezart, Akari', b'Tsukitachi', b'Jiki', b'Kiichi', b'Iva']
animeVoices	[b'\nKamiya, Hiroshi\nJapanese\n', b'\nMiyano, Mamoru\nJapanese\n', b'\nShimono, Hiro\nJapanese\n', b'\nEndou, Aya\nJapanese\n', b'\nOno, Daisuke\nJapanese\n', b'\nHirakawa, Daisuke\nJapanese\n', b'\nYusa, Kouji\nJapanese\n', b'\nNakamura, Yuuichi\nJapanese\n', b'\nKitamura, Eri\nJapanese\n', b'\nHonna, Youko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSuganuma, Eiji\n\nDirector\n\n', b'\nHamaguchi, Shirou\n\nMusic\n\n', b'\nMikanagi, Touya\n\nOriginal Creator\n\n', b'\nInai, Keiji\n\nMusic\n\n']
