animeTitle	Soba Dokan
animeType	Special
animeNumEpisode	1
releaseDate	2009-03-20 00:00:00
endDate	
animeNumMembers	72
animeScore	
animeUsers	
animeRank	13420
animePopularity	18105
animeDescription	A special of the Dokan-kun franchise included only on the complete DVD Box Set of the franchise. The Box Set was released 2 years before the 5th/final season was created. Making it not a true box set of the Dokan-kun franchise.
animeRelated	['Tatakae! Dokan-kun: Robolympic-hen']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
