animeTitle	Rekkoku Rikugun
animeType	Movie
animeNumEpisode	1
releaseDate	1932-01-01 00:00:00
endDate	
animeNumMembers	295
animeScore	4.99
animeUsers	137
animeRank	11472
animePopularity	14649
animeDescription	During a night of drinking Maru-san (Mr. Circle) and Sumi-san (Mr. Square) hear the armies parade of the world and talk to learn more about them on a global scale. In every aspect Japan's army was the smallest.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
