animeTitle	Happy Kappy
animeType	TV
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	5.48
animeUsers	244
animeRank	
animePopularity	10796
animeDescription	"The story revolves around Kinoshita Suguri, a nine-year-old third-grade girl who loves animals and making fashion accessories. One day, while Suguri is out buying materials for accessories, she comes across an unusual rock. Thinking it would look cute on a bracelet, she goes to pick up the rock and discovers a creature named Kappy. Kappy happens to be the three-year-old prince of Kapimeshia.

(Source: ANN)"
animeRelated	['Happy Kappy Recap']
animeCharacters	['Kappy', 'Kinoshita, Suguri']
animeVoices	['Katou, Emiri', 'Ookubo, Rumi']
animeStaff	[['Tamagawa, Makoto', 'Storyboard'], ['Watanabe, Cheru', 'Theme Song Composition, Theme Song Arrangement, Music']]
